AMOC,AMOC_20S,MOC_30SAABW,NAO,SFWF,N_SALT,SALT_500m,ICEFRAC,PD_0m,PD_200m,Southern_Ocean_TAUX,AMOC_40N
5.4830747,5.023636341094971,-10.239799,-120.4375,-1.1954525903152662e-05,-9507178496.0,35.90125698513455,0.6506598782101113,1.0277760653960994,1.0284133502777586,-0.041801333,6.8827815
4.6294966,5.414859294891357,-11.201758,-146.15625,-1.0963466825284627e-05,-8816568320.0,35.90106387471044,0.6482878548255636,1.0277792268652255,1.0284207917274313,-0.04076511,6.4356275
5.921694,4.797603130340576,-12.28732,0.796875,-1.0227817230500938e-05,-9958822912.0,35.90155880950218,0.6464887541969802,1.0277367936886423,1.0284297648896563,-0.048542194,5.8200336
6.0029883,5.721677303314209,-8.84748,-18.1875,-9.525447150066588e-06,-6875847680.0,35.900959152891964,0.6547122839031848,1.0277207081880029,1.0284346565287164,-0.04010967,6.0628743
7.661625,6.77761697769165,-10.571012,-46.9296875,-1.2462067464574472e-05,-8184853504.0,35.90112190345153,0.6567202699019011,1.027708432538723,1.0284344335819813,-0.043197446,5.7270417
6.099441,5.130507946014404,-11.351111,310.0625,-1.0503138752217492e-05,-6792674304.0,35.90361003235021,0.643604988280155,1.027713538427663,1.0284300426219373,-0.057770457,5.722943
5.8545575,5.289299488067627,-12.866871,-419.734375,-5.324208987315576e-06,-8120337408.0,35.90428388334368,0.6077147934920504,1.02761917361399,1.0284235457156568,-0.042739224,6.4871516
5.458409,5.178499698638916,-12.828453,-38.8671875,-1.227352402703978e-05,-7475086848.0,35.9063079301701,0.6579622846123433,1.027672936518987,1.028421032936015,-0.055773642,6.5340095
4.1374717,4.478591442108154,-11.101161,-70.3046875,-7.044590783080403e-06,-7240481792.0,35.904984190790536,0.6381731327188996,1.027652138859276,1.0284135080398398,-0.044560667,6.6210613
6.3057265,4.712438583374023,-13.154332,91.78125,-1.0001131441993916e-05,-7239907328.0,35.90383160021878,0.6388545958070608,1.0276289146120956,1.028403263396405,-0.04813931,7.2200456
5.5472894,4.5434889793396,-9.134723,44.15625,-1.1543544704200932e-05,-7139134464.0,35.90500583697967,0.6521438600757392,1.0276374732091176,1.0283979847076092,-0.03151461,7.130999
5.856236,5.142463207244873,-10.566467,-105.9296875,-8.698728107242367e-06,-6371606016.0,35.90551447313885,0.6400698646733266,1.027633711574523,1.0283938022370034,-0.046207614,6.9513736
5.7132897,6.785354137420654,-11.675785,72.3046875,-1.2971470153985134e-05,-8490535936.0,35.904619911844414,0.6367377764569634,1.0276384499014877,1.0283923554927743,-0.052853484,6.9601197
6.445295,5.2802252769470215,-9.136498,196.375,-1.3506290302369845e-05,-8427056640.0,35.905990994869896,0.651020227959331,1.0277186135451,1.0283934641391672,-0.032203928,7.206428
4.6764445,3.8700201511383057,-10.656271,-329.7265625,-7.585307260555858e-06,-9967029248.0,35.90892081051218,0.6102117093256917,1.0276911719058588,1.028398794316231,-0.035439268,6.7589726
6.5607715,7.036128997802734,-10.984589,262.171875,-1.1838818837767478e-05,-7835424256.0,35.91046044992846,0.6393843905001025,1.027678246178278,1.0284042992490403,-0.034297332,5.843942
6.0750537,5.251267910003662,-12.799873,-90.703125,-1.1171138024062342e-05,-8448955392.0,35.911253956245204,0.6327694197480014,1.0275936335082945,1.0284061989885696,-0.042996928,5.5336723
6.5383706,4.979200839996338,-11.950535,-105.8125,-6.600531790858199e-06,-8048487424.0,35.909915421360225,0.6071204820636922,1.0275523609262172,1.0284040953250642,-0.046385136,6.079508
5.6382804,5.5605082511901855,-10.051876,-180.5078125,-1.249386743756537e-05,-4289193984.0,35.90761964388904,0.6235038893798143,1.0275987602346313,1.0284063661352116,-0.0296487,6.3720417
5.157927,5.523538112640381,-12.3739395,7.03125,-1.3250159708685182e-05,-5607826432.0,35.90764578491526,0.6377514781094457,1.027615303188805,1.028407611999106,-0.03707934,6.3193226
5.8334594,5.147672176361084,-13.920112,-17.4375,-1.2900897173867687e-05,-9592779776.0,35.90900956383047,0.6459098103193052,1.027632810478288,1.0284107631825383,-0.06936738,6.284807
6.2850604,5.12480354309082,-10.877972,80.578125,-1.2870403879960607e-05,-8545118208.0,35.911636303253566,0.662265122765651,1.027685505345585,1.0284139321205463,-0.04838825,6.1361423
5.346281,5.014103412628174,-13.3507395,168.1953125,-9.684005791675949e-06,-7910319616.0,35.91139166977362,0.6412195867208842,1.027687355512526,1.0284120508965024,-0.06175789,5.671028
