Variable,Label,t0,t1,a0,a1,Height,Direction,Zoom_Start,Zoom_End
PD_200m,6 Up,12990,13189,1.0283100890734431,1.028790484080645,0.00048039500720187256,up,12900,13300
AMOC_40N,6 Down,13777,13976,14.773963068039514,5.389530834978339,-9.384432233061176,down,13700,14100
SFWF,6 Down,13748,13947,1.3533128107988828e-05,-1.1636625207789415e-05,-2.5169753315778242e-05,down,13700,14100
PD_200m,6 Down,13794,13993,1.0286503772023237,1.0283232400782971,-0.00032713712402654416,down,13700,14100
AMOC_40N,7 Up,15258,15392,6.567477592075699,23.83749599842555,17.27001840634985,up,15100,15500
SFWF,7 Up,15241,15440,-1.4695513569993135e-05,4.5488506097269204e-05,6.018401966726234e-05,up,15100,15500
PD_200m,7 Up,15237,15434,1.0283226350271484,1.0288015855393524,0.00047895051220403495,up,15100,15500
AMOC_40N,7 Down,15707,15889,18.957702712204767,3.715354147219887,-15.24234856498488,down,15500,15900
SFWF,7 Down,15689,15888,3.1247831557482426e-05,-1.7195447103145404e-05,-4.844327866062783e-05,down,15500,15900
PD_200m,7 Down,15704,15886,1.0287651321160263,1.0283062771419398,-0.0004588549740864867,down,15500,15900
AMOC_40N,8 Up,16347,16452,5.810251426033935,24.864675104179412,19.054423678145476,up,16200,16600
SFWF,8 Up,16303,16501,-1.8537724548861815e-05,4.607586143946341e-05,6.461358598832523e-05,up,16200,16600
PD_200m,8 Up,16310,16509,1.0283061634221726,1.0288343475073078,0.0005281840851352193,up,16200,16600
AMOC_40N,8 Down,17887,18086,16.013496954783097,5.723807016477778,-10.289689938305319,down,17750,18150
SFWF,8 Down,17852,18051,2.0380849796881418e-05,-1.1606752846826347e-05,-3.198760264370777e-05,down,17750,18150
PD_200m,8 Down,17906,18105,1.0286924795186438,1.0283171359058532,-0.0003753436127906795,down,17750,18150
AMOC_40N,9 Up,18669,18776,6.5384628821133575,25.55456697618425,19.016104094070894,up,18600,19000
SFWF,9 Up,18613,18809,-1.9766886517375738e-05,4.497387133144963e-05,6.474075784882537e-05,up,18600,19000
PD_200m,9 Up,18622,18820,1.0283076325336724,1.0288125738090006,0.0005049412753281857,up,18600,19000
AMOC_40N,9 Down,19546,19745,16.335320968105727,6.0052886884572505,-10.330032279648476,down,19400,19800
SFWF,9 Down,19524,19723,1.7861711841534134e-05,-1.0728600180651708e-05,-2.8590312022185842e-05,down,19400,19800
PD_200m,9 Down,19579,19778,1.0286750393183668,1.0282856130640705,-0.00038942625429627675,down,19400,19800
AMOC_40N,10 Up,20291,20413,6.165432659487741,23.948961930030073,17.78352927054233,up,20200,20600
SFWF,10 Up,20266,20439,-1.7432657640709696e-05,4.658687295500563e-05,6.401953059571533e-05,up,20200,20600
PD_200m,10 Up,20257,20452,1.0282707594429827,1.0288118657313339,0.0005411062883511342,up,20200,20600
AMOC_40N,10 Down,21184,21383,17.50573206137355,6.814473658037614,-10.691258403335937,down,21100,21500
SFWF,10 Down,21177,21376,2.4993256764630522e-05,-1.3376659825434493e-05,-3.8369916590065015e-05,down,21100,21500
PD_200m,10 Down,21212,21411,1.0287246556548784,1.0283232675098202,-0.0004013881450581902,down,21100,21500
AMOC_40N,11 Up,21957,22156,6.859860482661882,22.687465583832306,15.827605101170423,up,21900,22300
SFWF,11 Up,21968,22167,-1.7012511374688724e-05,4.5125210879573426e-05,6.213772225426215e-05,up,21900,22300
PD_200m,11 Up,21965,22164,1.0282947914754548,1.0287911829029923,0.0004963914275375458,up,21900,22300
AMOC_40N,11 Down,22988,23187,15.664953943235668,5.502497456241403,-10.162456486994266,down,22850,23250
SFWF,11 Down,22946,23145,2.238313700691814e-05,-1.1705482290273977e-05,-3.408861929719212e-05,down,22850,23250
PD_200m,11 Down,23011,23210,1.0286680825519154,1.0282693061803934,-0.00039877637152208045,down,22850,23250
AMOC_40N,12 Up,23970,24164,4.6026256968962915,24.05908487234521,19.45645917544892,up,23850,24250
SFWF,12 Up,23974,24173,-1.840019116718714e-05,4.5887322119455034e-05,6.428751328664217e-05,up,23850,24250
PD_200m,12 Up,23977,24176,1.0280903509624535,1.0287729215391241,0.0006825705766706491,up,23850,24250
AMOC_40N,12 Down,29764,29963,17.45029819314765,5.849466678975896,-11.600831514171754,down,29700,30100
SFWF,12 Down,29745,29944,2.731178497729001e-05,-1.2332639179256611e-05,-3.9644424156546625e-05,down,29700,30100
PD_200m,12 Down,29780,29979,1.028676910381693,1.0282260599047395,-0.0004508504769535904,down,29700,30100
AMOC_40N,13 Up,30504,30648,7.003903353248054,23.546978883241348,16.543075529993295,up,30400,30800
SFWF,13 Up,30480,30674,-1.5916582235062404e-05,4.656857257416834e-05,6.248515480923074e-05,up,30400,30800
PD_200m,13 Up,30513,30661,1.028222628284037,1.0287622351909587,0.0005396069069216747,up,30400,30800
