AABW,NAO,SFWF,N_SALT,SALT_500m,ICEFRAC,PD_0m,PD_200m,TAUX,AMOC
-13.335164,67.5078125,-9.77333215787862e-06,-9851509760.0,35.9112601366462,0.638936552929105,1.0277207975949698,1.0284430270499372,-0.061059017,7.181994
-8.295499,-249.265625,-1.4024215503394728e-05,-8740526080.0,35.90893463016481,0.6516689188829332,1.0277149672430703,1.0284391626398617,-0.05239084,7.1153235
-10.451196,-259.2421875,-8.04142323520407e-06,-7810790400.0,35.91124910655256,0.6384136698713215,1.0276735657598914,1.028438919909457,-0.045268435,7.263387
-10.684415,30.5859375,-1.1633329308266798e-05,-9052530688.0,35.91168388346985,0.6430579964786981,1.0276561553885295,1.0284296365494423,-0.03618121,7.2322803
-10.463245,-55.2734375,-1.1259643658339052e-05,-7441942528.0,35.91465477364316,0.6292691397951179,1.0276925692228769,1.0284252701921666,-0.04522803,6.6920624
-7.7806325,-306.5859375,-1.112328836596567e-05,-7183033344.0,35.91590418064009,0.6399471715218775,1.0277411961943153,1.0284231878341512,-0.019455412,6.96981
-10.888996,-410.78125,-6.805124672219223e-06,-8780322816.0,35.91690298075516,0.6253836027826765,1.0276521894989945,1.0284236601058474,-0.027925005,7.476662
-11.048095,-166.3203125,-8.837174387070299e-06,-5125585920.0,35.91553665870844,0.6309107955779231,1.027605410513839,1.0284161240496534,-0.044090465,7.706463
-10.421623,-188.453125,-9.706805476926824e-06,-7087080448.0,35.91426254982172,0.6255843385752087,1.027592021275342,1.0284117581996512,-0.037306055,8.281342
-13.556778,34.859375,-6.99376365986916e-06,-9606329344.0,35.913419689010894,0.6119305638148944,1.0275805185480815,1.028406863009676,-0.054829136,8.078819
-10.086152,-214.71875,-8.60061083752959e-06,-8288631808.0,35.913835362870564,0.6010324581687504,1.027575685968244,1.0283988592472482,-0.03564964,8.3094635
-12.832376,-173.6875,-2.736108718584744e-06,-6657207808.0,35.91730533767424,0.5893694993543855,1.0275472099703502,1.0283969128385504,-0.048107386,9.896136
-11.847626,-30.3984375,-5.897031920193193e-06,-8125165056.0,35.920219953670056,0.6112385476390045,1.0275426843786628,1.0283920026840048,-0.05880751,9.091141
-9.589815,-557.015625,-2.6127531840028204e-06,-8964329472.0,35.92159965179995,0.6065303428064605,1.027487790439187,1.028383363815064,-0.04136365,9.194109
-11.918434,-98.765625,-8.751803762063838e-06,-5793198080.0,35.92197827282494,0.6172165211367732,1.027513644075006,1.028377089855519,-0.046895992,8.409334
-13.469132,573.21875,-1.1093127677897574e-05,-7381787136.0,35.92218758831961,0.6072139314837841,1.027565223899314,1.028369407704536,-0.056952648,8.196027
-10.66002,156.40625,-1.5043721052087544e-05,-7601592320.0,35.92304794548094,0.6119278187810172,1.0276496003313762,1.0283610691415503,-0.04891388,8.029498
-9.168806,-102.375,-6.831663325611518e-06,-7723441152.0,35.92858663948315,0.5989071907558051,1.027702716792502,1.0283675992742498,-0.046528913,6.6429744
-9.901281,-146.1015625,-1.5618619048242648e-05,-9613750272.0,35.93338002838214,0.6555268030412359,1.027861037632314,1.0283940345682996,-0.049762208,7.273039
-8.197448,-319.03125,-1.0798104224194524e-05,-6275134976.0,35.93588077436738,0.6637527497781169,1.0278734378213803,1.0284275864032988,-0.023078686,5.2977486
-11.946868,-46.359375,-7.559421220798782e-06,-8293916160.0,35.924363414754545,0.6673614780217273,1.0277935462753949,1.028442095695658,-0.04248709,5.2204294
-12.1655,202.4453125,-4.595164956490393e-06,-10285224960.0,35.9165083222303,0.6351521270783754,1.0276919496737844,1.028440006743086,-0.04665418,4.790913
-12.841259,-69.953125,-6.491465134136785e-06,-7190716928.0,35.90950644047069,0.5775854086150503,1.0275988210507525,1.0284215805378365,-0.05459785,5.943182
-11.439418,218.171875,-1.2627231856230165e-05,-5966662656.0,35.91051773938714,0.6332013786341122,1.0277019135835694,1.0284219018956449,-0.051457033,5.9856625
-11.419797,-316.2890625,-1.6645553570474783e-05,-8941119488.0,35.91873138388306,0.6500618402120987,1.0277486375676907,1.0284266126916763,-0.05254759,7.071066
-9.356007,35.109375,-8.73241338187345e-06,-9122638848.0,35.92109819160876,0.6147088697513633,1.0277016998791113,1.0284271088052304,-0.046620484,7.156988
-11.772739,-215.640625,-1.1190645898590385e-05,-8283515392.0,35.91827136293554,0.632042457881956,1.027723697627463,1.0284299685599956,-0.05406324,6.374588
-10.489571,-251.5703125,-1.1538672904843144e-05,-7614746112.0,35.91691921539701,0.6445982725987657,1.0277073395446064,1.0284301481348403,-0.041831568,6.192206
-9.319695,-263.8203125,-9.360006323999852e-06,-7810912768.0,35.91528363683735,0.6487562373743762,1.0277155865498675,1.0284285644267468,-0.029987566,6.2222133
-10.923257,-51.3984375,-1.1074800749644356e-05,-6377744896.0,35.91184723531245,0.6316565528425903,1.027658577372388,1.0284206537490197,-0.044684466,6.691116
-10.084202,-401.84375,-4.471206961936768e-06,-10564058112.0,35.91278891353952,0.6164958689817771,1.0275967419147491,1.0284176217748764,-0.04613278,7.4828587
-11.426376,-188.3203125,-9.846898788064646e-06,-5079964160.0,35.915318994251024,0.6404707130010744,1.0276131227733645,1.0284149512331535,-0.042079076,7.981361
-11.348694,211.90625,-8.876350393119245e-06,-7594021888.0,35.9178739049946,0.6292476555463509,1.0276191006831037,1.0284113932163157,-0.045864787,6.4267464
-10.176467,-6.578125,-1.4126777396678228e-05,-7387574784.0,35.919941500483866,0.6362210016523022,1.0276338392641486,1.0284032129226848,-0.041169763,5.1781406
-12.576279,-321.515625,-1.2083931064636992e-05,-8592471040.0,35.92404296047004,0.645711295914225,1.027689514848275,1.0284054550718753,-0.04576601,5.904281
-10.208507,-146.359375,-9.18198779563158e-06,-5542192128.0,35.92904529029393,0.6472762079441358,1.0277595815619802,1.0284183441324437,-0.03953592,6.318256
-11.03054,412.3125,-1.0177857031170164e-05,-7802793472.0,35.9348083318666,0.6536341835471831,1.0277427047248775,1.028431801846687,-0.054263845,6.301438
-11.513822,145.4140625,-8.418810629046825e-06,-7487572992.0,35.93500123529163,0.6221203515651723,1.0276583418613527,1.028428428984703,-0.061330955,5.0190296
-10.623361,187.125,-7.83459349298571e-06,-6655281152.0,35.93462850881178,0.6114966612476564,1.0276997956803176,1.0284234211799943,-0.04269345,5.525875
-10.915206,120.6953125,-1.0072398023486431e-05,-7470010368.0,35.937946763149526,0.6107649933977276,1.0277012453331211,1.0284219193965831,-0.049720272,5.3632393
-12.607964,-308.6875,-1.1351703575834002e-05,-10083472384.0,35.94136108477294,0.6400940858705629,1.0277480291641825,1.028425523575316,-0.044057,5.919782
-12.305886,-43.0390625,-8.725716692065527e-06,-9588232192.0,35.93995853788785,0.6478352578208918,1.0277445316314695,1.028430003815509,-0.057198457,6.6762214
-9.681778,-1.9296875,-4.788139313186927e-06,-6160921088.0,35.93618506300973,0.600119848311806,1.0276015073787876,1.0284284028601138,-0.039588373,6.1112676
-10.919366,-534.2109375,-1.302112735300272e-05,-9222260736.0,35.9294670656978,0.6343734234894024,1.027645615300512,1.0284206623726704,-0.044754777,6.2271314
-9.6797085,120.5,-1.3266730158017642e-05,-7147986944.0,35.92706158857321,0.6529583370684122,1.0276531419618342,1.0284190974336989,-0.04060633,6.8869004
-8.950167,-221.3359375,-7.66042270591014e-06,-7454457856.0,35.92397759804738,0.6244303541364692,1.027618790302819,1.0284135899645217,-0.03910238,7.3169656
-11.085191,90.6796875,-1.1729178735906452e-05,-6596067840.0,35.92171594585251,0.6087225487171963,1.0275892801885682,1.0284076168182048,-0.047993585,6.805076
-13.075516,-312.9921875,-1.6402342533936e-05,-8716983296.0,35.916990492078995,0.6276258143516316,1.027620077375474,1.0283972636182257,-0.057579942,7.553107
-11.099856,540.2890625,-1.012747266363386e-05,-8034642944.0,35.91947255886186,0.616811287566937,1.0276412060105704,1.0283978368373627,-0.0534854,6.9496193
-9.513811,-173.1796875,-9.187144386471544e-06,-6249011712.0,35.91605738952794,0.5949197433795538,1.027683090872881,1.028393878581676,-0.038023174,6.091671
-9.79683,56.96875,-1.1749330280765625e-05,-8090900480.0,35.91866612003139,0.6457217845139288,1.0277537046893823,1.0284061135129725,-0.038917832,6.3961625
-10.473578,-272.765625,-7.879614214431054e-06,-9405419520.0,35.92076269539135,0.6256130876899988,1.0276910323437636,1.0284225588149212,-0.04957278,5.1984315
-9.909072,-57.3125,-6.790616522249662e-06,-8308412928.0,35.917735797182225,0.6201435536616676,1.0276716160095805,1.028428801577142,-0.030569216,6.717253
-10.581141,30.015625,-1.090476290830511e-05,-8029226496.0,35.91477725795381,0.639718590211487,1.0276622672875722,1.0284279714239404,-0.048974156,7.131141
-12.575734,67.96875,-1.0131497818809606e-05,-10220999680.0,35.91506354753361,0.6147095759309499,1.0276196204065309,1.0284239482372366,-0.043619767,6.265131
-11.174308,-192.171875,-1.1535081577816956e-05,-8111492608.0,35.912862910780795,0.6214985952192364,1.027643555548133,1.0284136498228031,-0.045087844,7.2062116
-9.820157,20.8671875,-1.1645698613261695e-05,-6312480768.0,35.913384321740125,0.6493952142197182,1.0277029295277789,1.0284147105318435,-0.045934223,6.835319
-11.245074,-311.578125,-4.625538131453777e-06,-7786832896.0,35.91162245402965,0.6166973561679091,1.0276504507878932,1.0284149111585414,-0.058723465,6.1932826
-12.54346,-73.1640625,-1.1894214435152208e-05,-7743234048.0,35.90974658897065,0.611481895332569,1.0276729670481952,1.0284167477425108,-0.056425527,6.1102695
-10.673528,-7.1328125,-7.230311756298066e-06,-6217293824.0,35.910284431713805,0.6046215977991475,1.027740602570821,1.0284237549660054,-0.05407917,6.907533
-10.921979,-213.828125,-1.0998081227115465e-05,-8198050304.0,35.90985714619166,0.6140525610971963,1.0277319846114492,1.0284285347512427,-0.050770774,7.3166065
-10.379693,-259.671875,-8.090747668522289e-06,-8595297280.0,35.90769719954301,0.6312119294925651,1.0277189864375726,1.028433326711046,-0.04648516,7.533039
-10.560489,-237.59375,-8.652423004256424e-06,-9068365824.0,35.90450721563295,0.6295589295659738,1.0276322701597602,1.0284363685770237,-0.050604083,7.6535544
-7.8389187,62.2265625,-1.0736489957797358e-05,-8468793344.0,35.90337448711543,0.6371606532599495,1.0275879322997925,1.0284367756640658,-0.03093524,8.348739
-11.804175,-193.9765625,-1.0360573753673884e-05,-8594633728.0,35.903181307691625,0.6388241368676972,1.0275881876790427,1.0284344888748007,-0.056574695,7.4665465
-12.796641,-348.53125,-1.432469147950606e-05,-8548689408.0,35.90910745467942,0.6618443158331502,1.0276673581542035,1.0284366222138102,-0.06481695,7.7196846
-8.398234,-310.7109375,-4.184267117390658e-06,-7085249536.0,35.91390859125813,0.619777991589217,1.0276050710581182,1.0284370785063883,-0.020419922,7.8603044
-9.082481,588.1171875,-8.139203386060078e-06,-6814355968.0,35.91773525504179,0.589024272495711,1.0275862321136444,1.0284233037461623,-0.04495744,7.423266
-7.901167,320.59375,-1.0131582871973757e-05,-6865050112.0,35.91601725142132,0.5599016969408694,1.027603603475462,1.0284012452084967,-0.029761957,8.093303
-10.854634,-50.21875,-1.647426487851462e-05,-5740756480.0,35.91700025060688,0.6135436294880492,1.0277549806164532,1.0284019898861012,-0.040875435,8.37896
-11.538017,207.5703125,-2.6716683120531035e-06,-5562878464.0,35.91982666528194,0.6221765651165091,1.0277485454954751,1.028415211718133,-0.06341925,7.906576
-10.797749,-379.875,-1.2632936751568593e-05,-5238728704.0,35.92119996615467,0.6229182278821099,1.0277546103892288,1.028420877456665,-0.04415427,7.0227046
-10.207963,-62.5546875,-9.830994828325604e-06,-7266401792.0,35.92321669901372,0.6195184641759018,1.0277605010726587,1.0284324014440496,-0.061003294,6.913513
-9.831853,362.125,-1.232289943737284e-05,-9923146752.0,35.9280979343779,0.6186260257309186,1.027799341494475,1.0284423736815758,-0.048559442,6.3096642
-11.408084,-227.7578125,-7.67249424102402e-06,-10201566208.0,35.92582364538227,0.5975884250874515,1.027784253765897,1.028441741872341,-0.05775622,6.231199
